0	DESC:manner	How did serfdom develop in and then leave Russia ?	DESC
1	ENTY:cremat	What films featured the character Popeye Doyle ?	ENTY
2	DESC:manner	How can I find a list of celebrities ' real names ?	DESC
3	ENTY:animal	What fowl grabs the spotlight after the Chinese Year of the Monkey ?	ENTY
4	ABBR:exp	What is the full form of .com ?	ABBR
5	HUM:ind	What contemptible scoundrel stole the cork from my lunch ?	HUM
6	HUM:gr	What team did baseball 's St. Louis Browns become ?	HUM
7	HUM:title	What is the oldest profession ?	HUM
8	DESC:def	What are liver enzymes ?	DESC
9	HUM:ind	Name the scar-faced bounty hunter of The Old West .	HUM
10	NUM:date	When was Ozzy Osbourne born ?	NUM
11	DESC:reason	Why do heavier objects travel downhill faster ?	DESC
12	HUM:ind	Who was The Pride of the Yankees ?	HUM
13	HUM:ind	Who killed Gandhi ?	HUM
14	ENTY:event	What is considered the costliest disaster the insurance industry has ever faced ?	ENTY
15	LOC:state	What sprawling U.S. state boasts the most airports ?	LOC
16	DESC:desc	What did the only repealed amendment to the U.S. Constitution deal with ?	DESC
17	NUM:count	How many Jews were executed in concentration camps during WWII ?	NUM
18	DESC:def	What is `` Nine Inch Nails '' ?	DESC
19	DESC:def	What is an annotated bibliography ?	DESC
20	NUM:date	What is the date of Boxing Day ?	NUM
21	ENTY:other	What articles of clothing are tokens in Monopoly ?	ENTY
22	HUM:ind	Name 11 famous martyrs .	HUM
23	DESC:desc	What 's the Olympic motto ?	DESC
24	DESC:desc	What is the origin of the name ` Scarlett ' ?	DESC
25	ENTY:letter	What 's the second-most-used vowel in English ?	ENTY
26	HUM:ind	Who was the inventor of silly putty ?	HUM
27	LOC:other	What is the highest waterfall in the United States ?	LOC
28	ENTY:other	Name a golf course in Myrtle Beach .	ENTY
29	LOC:state	Which two states enclose Chesapeake Bay ?	LOC
30	ABBR:exp	What does the abbreviation AIDS stand for ?	ABBR
31	ENTY:other	What does a spermologer collect ?	ENTY
32	NUM:count	How many points make up a perfect fivepin bowling score ?	NUM
33	HUM:gr	Which company that manufactures video-game hardware sells the `` super system '' ?	HUM
34	NUM:count	How many Community Chest cards are there in Monopoly ?	NUM
35	DESC:desc	What do Mormons believe ?	DESC
36	NUM:date	When did the neanderthal man live ?	NUM
37	ENTY:religion	In what religion was Isis the nature goddess ?	ENTY
38	LOC:other	Where do the adventures of `` The Swiss Family Robinson '' take place ?	LOC
